id,title,url,web_archive_id,first_keywords_auto,last_keywords_auto,first_summary_auto,last_summary_auto,first_date_parsed,last_date_parsed,alive,type1,type2,COVID (add yes/ no),group
3781,Lornshill Academy : News,http://lornshillacademy.schoolwebsite.scot/news,113336,"Published, school, Lornshill, Trip, pupils, Maths, Week, day","Read, Crawl, Apr, Common, Published, Jan, Nov, Collection",The Wayback Machine - https://web.archive.org/web/20200122060951/http://lornshillacademy.schoolwebsite.scot:80/news News Pinned post Download our school app Up to date information when you need it...,Published on: 08-01-2021 Read more Education Maintenance Allowance (EMA) Register here...,22/01/2020,23/01/2021,no,"School, Secondary",CORONAVIRUS,no,Education
1612,Ayr Advertiser : Ayr UWS students given advice on deadly Coronavirus,http://www.ayradvertiser.com/news/18196449.ayr-uws-students-given-advice-deadly-coronavirus/,107684,"UNIVERSITY, West, Ayr, students, China, Wuhan, Scotland, Coronavirus","UNIVERSITY, West, Ayr, students, China, Wuhan, Scotland, Coronavirus","A statement reads: “Anyone who has recently travelled to Wuhan City should stay indoors and avoid contact with other people for 14 days from the date of return, and call NHS 24 on 111 to inform them of your recent travel to the city.” ""Anyone returning from elsewhere in China who becomes unwell within 14 days of that visit, particularly with respiratory symptoms, should contact their GP or call NHS 24 on 111.""","A statement reads: “Anyone who has recently travelled to Wuhan City should stay indoors and avoid contact with other people for 14 days from the date of return, and call NHS 24 on 111 to inform them of your recent travel to the city.” ""Anyone returning from elsewhere in China who becomes unwell within 14 days of that visit, particularly with respiratory symptoms, should contact their GP or call NHS 24 on 111.""",30/01/2020,30/01/2020,no,News,CORONAVIRUS,yes,Media
4309,BBC News : Coronavirus labs to begin testing in Scotland,https://www.bbc.co.uk/news/uk-scotland-51436102,missing,"Scotland, virus, testing, positive, Royal, Infirmary, England, people","Scotland, virus, Health, people, positive, Published, England, Coronavirus","Until now, all samples taken from people suspected of having the virus in Scotland had been sent to England.","Until now, all samples taken from people suspected of having the virus in Scotland had been sent to England.",10/02/2020,08/12/2022,no,News,CORONAVIRUS,yes,Media
2053,"Gazette, The : Coronavirus testing centre to be set up in Scotland",http://www.the-gazette.co.uk/news/18223545.coronavirus-testing-centre-set-glasgow/,108267,"Scotland, TESTING, disease, Calderwood, positive, British, Glasgow, Edinburgh","Scotland, TESTING, disease, Calderwood, positive, British, Glasgow, Edinburgh","Dr Calderwood said: ""Ever since the beginning of this global outbreak we have been working hard to develop a testing facility within Scotland.","Dr Calderwood said: ""Ever since the beginning of this global outbreak we have been working hard to develop a testing facility within Scotland.",11/02/2020,11/02/2020,no,News,CORONAVIRUS,no,Media
2087,"Courier, The : Coronavirus",https://www.thecourier.co.uk/tag/coronavirus/,108329,"Wayback, Machine, Live, Save, Proxy, WARC, ARC, Page","Scotland, track, Coronavirus, charts, ’ve, put, collection, weekly",Liveweb proxy is a component of Internet Archive’s wayback machine project.,We’ve put together a collection of twice weekly updated charts to track the coronavirus crisis in Scotland.,11/02/2020,26/03/2025,no,News,CORONAVIRUS,yes,Media
1645,Glasgow Times : Coronavirus: all the latest news so far,http://www.glasgowtimes.co.uk/news/18226677.coronavirus-latest-news-far/,107730,"coronavirus, York, Brighton, Argus, February, reported, Hove, latest","coronavirus, York, Brighton, Argus, February, reported, Hove, latest","Outside of Brighton, Bath University was also being tested for Coronavirus, according to the Swindon Advertiser on Tuesday.","Outside of Brighton, Bath University was also being tested for Coronavirus, according to the Swindon Advertiser on Tuesday.",12/02/2020,12/02/2020,no,News,CORONAVIRUS,yes,Media
2857,Dave Watson : 2020,http://unisondave.blogspot.com/2020/,111229,"PFI, PPP, Scotland, public, model, government, Major, years","fund, investment, managers, Environment, Social, Governance, ESG, funds","Nearly thirty years after John Major’s government introduced the Private Finance Initiative (PFI), it is astonishing that we are still writing about and using this failed model of delivering public services.","I have completed a couple of projects with pension funds in recent months looking at Environment, Social and Governance (ESG) strategies.",12/02/2020,26/12/2023,no,Blog,CORONAVIRUS,no,Media
1640,Daily Record : Coronavirus,https://www.dailyrecord.co.uk/all-about/coronavirus/,107724,"Expand, Coronavirus, Scottish, Politics, Life, Business, Cup, Scotland","Scotland, rules, pandemic, Facebook, Twitter, Instagram, guidance, find",Local News Cookie Notice Advertising Marketplace Book an Ad Discount Codes Jobs Buy a Photo footie5 thepools.com Competition Rules How to Complain Corrections & Clarifications Google Survey Privacy Notice Contact the Judge Sunday Mail Centenary Fund Paper Subscription to the Daily Record and Sunday Mail Paper Subscription to the Paisley Daily Express Newsletters Signup Terms and Conditions © 2020 Scottish Daily Record and Sunday Mail Ltd Coronavirus,"You can find us on Facebook, Twitter and Instagram.",14/02/2020,25/07/2025,no,News,CORONAVIRUS,yes,Media
1647,Glasgow Times : NHS staff in Glasgow to begin home testing for deadly Coronavirus,http://www.glasgowtimes.co.uk/news/18237268.nhs-staff-glasgow-begin-home-testing-deadly-coronavirus/,107732,"health, protective, wearing, Coronavirus, NHS, staff, risk, symptoms","health, protective, wearing, Coronavirus, NHS, staff, risk, symptoms",NHS staff in Glasgow are to carry out home visits to test for possible cases of Coronavirus (COVID-19) Staff from the public health team wearing protective suits will be taking samples from anyone experiencing symptoms who has visited any of the affected areas or been in contact with anyone who has recently returned.,NHS staff in Glasgow are to carry out home visits to test for possible cases of Coronavirus (COVID-19) Staff from the public health team wearing protective suits will be taking samples from anyone experiencing symptoms who has visited any of the affected areas or been in contact with anyone who has recently returned.,15/02/2020,15/02/2020,no,News,CORONAVIRUS,yes,Media
1646,"Glasgow Times : What is coronavirus? Symptoms, treatment and protecting yourself",http://www.glasgowtimes.co.uk/news/18235459.coronavirus-symptoms-treatment-protecting/,107731,"Respiratory, severe, humans, Syndrome, contact, symptoms, Coronaviruses, coronavirus","Respiratory, severe, humans, Syndrome, contact, symptoms, Coronaviruses, coronavirus","However, scientists don't know if there is a larger reservoir of people who have caught the new coronavirus but suffered mild - or no - symptoms.","However, scientists don't know if there is a larger reservoir of people who have caught the new coronavirus but suffered mild - or no - symptoms.",17/02/2020,29/02/2020,no,News,CORONAVIRUS,yes,Media
1927,Evening express : NHS Grampian bosses happy with coronavirus preparation at Aberdeen’s airport and harbour,https://www.eveningexpress.co.uk/fp/news/local/nhs-grampian-bosses-happy-with-coronavirus-preparation-at-aberdeens-airport-and-harbour/,108076,"Aberdeen, city, harbour, Health, bosses, NHS, Grampian, coronavirus","Aberdeen, city, harbour, Health, bosses, NHS, Grampian, coronavirus","NHS Grampian bosses happy with coronavirus preparation at Aberdeen’s airport and harbour Health board bosses are “content” Aberdeen’s airport and harbour plans are sufficient to deal with any cases of coronavirus, a new report has stated.","NHS Grampian bosses happy with coronavirus preparation at Aberdeen’s airport and harbour Health board bosses are “content” Aberdeen’s airport and harbour plans are sufficient to deal with any cases of coronavirus, a new report has stated.",21/02/2020,21/02/2020,no,News,CORONAVIRUS,yes,Media
1648,Glasgow Times : Warning over new coronavirus is stepped up in Scotland,http://www.glasgowtimes.co.uk/news/18253710.warning-new-coronavirus-stepped-scotland/,107733,"Scotland, health, notifiable, coronavirus, meaning, infected, disease, diseases","Scotland, health, notifiable, coronavirus, meaning, infected, disease, diseases","Symptoms, treatment and protecting yourself As of Friday afternoon, 368 people had been tested for coronavirus across Scotland, with all results negative.","Symptoms, treatment and protecting yourself As of Friday afternoon, 368 people had been tested for coronavirus across Scotland, with all results negative.",23/02/2020,23/02/2020,no,News,CORONAVIRUS,yes,Media
1871,Evening express : Aberdeen woman on the run for Charlie House,https://www.eveningexpress.co.uk/fp/news/local/aberdeen-woman-on-the-run-for-charlie-house1/,108007,"marathon, Marie, Aberdeen, charity, marathons, York, Charlie, House","marathon, Marie, Aberdeen, charity, marathons, York, Charlie, House","“I couldn’t do it without my husband Ashley, he comes with me everywhere.” So far, more than £1,600 has been raised as part of Marie’s fundraising campaign.","“I couldn’t do it without my husband Ashley, he comes with me everywhere.” So far, more than £1,600 has been raised as part of Marie’s fundraising campaign.",23/02/2020,21/01/2021,no,News,CORONAVIRUS,no,Media
1581,Borders College : Coronavirus advice for staff and students,http://www.borderscollege.ac.uk/resources/coronavirus-advice-for-staff-and-students/,107591,"Coronavirus, Chinese, people, world, Wuhan, contact, spread, risk","Government, advice, Coronavirus, updated, develop, regularly, staff, students","How to avoid catching or spreading germs There's currently no vaccine for coronavirus, but there are things you can do to help stop germs like coronavirus spreading.","- If you have any questions please email: enquiries@borderscollege.ac.uk Because many of our staff are currently working from home or are on annual leave, as well as the number of enquiries being made, responses to any emails may take a little longer than we would normally expect.",25/02/2020,12/08/2021,no,Education,CORONAVIRUS,yes,Education
1899,Evening express : CORONAVIRUS: North-east dad quarantined in China speaks of ‘horror movie’ with rise of virus,https://www.eveningexpress.co.uk/fp/news/local/coronavirus-north-east-dad-quarantined-china-speaks-of-horror-movie-with-rise-of-virus/,108043,"city, Chinese, Hefei, Richie, days, Day, shut, home","city, Chinese, Hefei, Richie, days, Day, shut, home",The government must have realised that this was going to spiral out of control if left unchecked because they put their foot down hard.,The government must have realised that this was going to spiral out of control if left unchecked because they put their foot down hard.,25/02/2020,25/02/2020,no,News,CORONAVIRUS,no,Media
1948,Evening express : Quarantined north-east musician pens song on experiences of coronavirus victims,https://www.eveningexpress.co.uk/fp/news/local/quarantined-north-east-musician-pens-song-on-experiences-of-coronavirus-victims/,108132,"song, north-east, coronavirus, China, recorded, Ting, inspired, outbreak","song, north-east, coronavirus, China, recorded, Ting, inspired, outbreak",“It was also something I could put my creativity to keep me busy.” “I usually record with my band White Monkeys but they all flew back to the UK as soon as this began.,“It was also something I could put my creativity to keep me busy.” “I usually record with my band White Monkeys but they all flew back to the UK as soon as this began.,25/02/2020,17/04/2020,no,News,CORONAVIRUS,yes,Media
1649,Glasgow Times : Rangers fans facing Coronavirus fears over Braga connecting flights,http://www.glasgowtimes.co.uk/news/18259989.rangers-fans-facing-coronavirus-fears-braga-connecting-flights/,107734,"Milan, Braga, Coronavirus, Portugal, fans, self-isolate, Italy, people","Milan, Braga, Coronavirus, Portugal, fans, self-isolate, Italy, people","Speaking on BBC Breakfast, he added that people returning from any areas quarantined by the Italian government should self-isolate whether they show symptoms or not.","Speaking on BBC Breakfast, he added that people returning from any areas quarantined by the Italian government should self-isolate whether they show symptoms or not.",26/02/2020,02/03/2020,no,News,CORONAVIRUS,yes,Media
1650,Glasgow Times : Coronavirus fears: Scottish Government says stay indoors if you've been to these places,http://www.glasgowtimes.co.uk/news/18260425.coronavirus-fears-scottish-government-says-stay-indoors-places/,107735,"symptoms, Government, Coronavirus, Italy, South, Korea, self-isolate, Scottish","symptoms, Government, Coronavirus, Italy, South, Korea, self-isolate, Scottish","For northern Italy, all travellers returning from specific lockdown areas identified by the Italian Government are advised to self-isolate, even if they do not have symptoms.","For northern Italy, all travellers returning from specific lockdown areas identified by the Italian Government are advised to self-isolate, even if they do not have symptoms.",26/02/2020,26/02/2020,no,News,CORONAVIRUS,yes,Media
1651,Glasgow Times : 'Holiday from hell' as Scots tourists among 1000 stuck at Tenerife hotel on Coronavirus lockdown,http://www.glasgowtimes.co.uk/news/18260995.holiday-hell-scots-tourists-stuck-tenerife-hotel-coronavirus-lockdown/,107736,"hotel, Coronavirus, Italy, Scottish, Tui, Government, rooms, advice","hotel, Coronavirus, Italy, Scottish, Tui, Government, rooms, advice",Scottish tourists are among those being told to stay inside their Tenerife hotel rooms after an Italian doctor there was diagnosed with Coronavirus.,Scottish tourists are among those being told to stay inside their Tenerife hotel rooms after an Italian doctor there was diagnosed with Coronavirus.,26/02/2020,09/03/2020,no,News,CORONAVIRUS,yes,Media
2093,"Sunday Post, The : Coronavirus",https://www.sundaypost.com/tag/coronavirus/,108335,"Content, Development, Group, International, Internet, Preservation, Consortium, aspects","Scottish, December, Covid, Gilmour, Louise, years, March, care","Idenitifcation of seed websites and initial web crawling begain in February 2020, and the collection will continue to add new content as needed during the course of the outbreak and its containment.","Opinion Louise Gilmour: Five years on from Covid-19, have we learned to value our care home workers?",26/02/2020,22/04/2025,no,News,CORONAVIRUS,yes,Media
2257,BBC News : Coronavirus outbreak preparations stepped up in Scotland,https://www.bbc.co.uk/news/uk-scotland-51638363,108626,"Scotland, Health, Coronavirus, outbreak, NHS, Scottish, Italy, stepped","Scotland, Health, February, outbreak, NHS, Scottish, Coronavirus, Published","However parents have been advised that medical advice should be sought if any respiratory symptoms appear such as a cough, high temperature or shortness of breath.","The Scottish government's resilience meeting follows warnings from Chief Medical Officer Catherine Calderwood that it was ""highly likely"" there would be a positive case of coronavirus - known as Covid-19 - in Scotland.",26/02/2020,19/10/2023,no,News,CORONAVIRUS,yes,Media
1652,Glasgow Times : Coronavirus: Scotland on alert amid spike in cases in Europe,http://www.glasgowtimes.co.uk/news/18261859.coronavirus-scotland-alert-amid-spike-cases-europe/,107737,"Scotland, Italy, outbreak, Health, virus, people, spread, Sturgeon","Scotland, Italy, outbreak, Health, virus, people, spread, Sturgeon","The Six Nations rugby match between Ireland and Italy, due to take place on Saturday in Dublin, has been cancelled.","The Six Nations rugby match between Ireland and Italy, due to take place on Saturday in Dublin, has been cancelled.",27/02/2020,14/03/2020,no,News,CORONAVIRUS,no,Media
1654,Glasgow Times : Coronavirus advice issued to Scotland's schools and universities,http://www.glasgowtimes.co.uk/news/18267476.coronavirus-fears-advice-issued-scotlands-schools-universities/,107739,"guidance, coronavirus, HPS, Scotland, Protection, Scottish, Health, people","guidance, coronavirus, HPS, Scotland, Protection, Scottish, Health, people","Update on #coronavirus testing — Scottish Government (@scotgov) February 27, 2020 As of 2pm today, a total of 470 Scottish tests have concluded: 470 confirmed negative 0 positive Read our latest update ➡️ https://t.co/1ndOEMq3gD Health advice ➡️ https://t.co/l7rqArB6Qu Guidance for travel ➡️ https://t.co/4wYN0WcF1R#COVIDー19 pic.twitter.com/o3geNnCaEd READ MORE: Coronavirus fears: Scottish Government says stay indoors if you've been to these places Education Secretary John Swinney said: ""This guidance has been circulated to schools, colleges, universities and early learning and childcare providers in Scotland following general guidance on basic preventative measures against coronavirus issued earlier in the month.","Update on #coronavirus testing — Scottish Government (@scotgov) February 27, 2020 As of 2pm today, a total of 470 Scottish tests have concluded: 470 confirmed negative 0 positive Read our latest update ➡️ https://t.co/1ndOEMq3gD Health advice ➡️ https://t.co/l7rqArB6Qu Guidance for travel ➡️ https://t.co/4wYN0WcF1R#COVIDー19 pic.twitter.com/o3geNnCaEd READ MORE: Coronavirus fears: Scottish Government says stay indoors if you've been to these places Education Secretary John Swinney said: ""This guidance has been circulated to schools, colleges, universities and early learning and childcare providers in Scotland following general guidance on basic preventative measures against coronavirus issued earlier in the month.",27/02/2020,28/02/2020,no,News,CORONAVIRUS,yes,Media
2091,"Press and Journal, The : Coronavirus",https://www.pressandjournal.co.uk/tag/coronavirus/,108333,"February, coronavirus, Scottish, Professor, abroad, Corona, Aston, Martin","Covid, October, Scotland, Garraway, Kate, August, Premium, Content","UK and abroad Corona maker AB InBev warns of profits fall after £132m coronavirus hit February 27, 2020 UK and abroad Aston Martin shares go into reverse amid mounting losses and coronavirus worries February 27, 2020 Scottish politics Coronavirus: Professor Hugh Pennington on how it’s spreading, how we’ll fight it — and how concerned we should be February 26, 2020 UK Irish rugby chiefs ‘will comply with whatever directive is issued’ on Italy game February 26, 2020","Read More All Coronavirus Posts Kate Garraway offers update after receiving ‘unsettling post’ for late husband April 18, 2024 Kate Garraway says finishing Derek Draper documentary after his death was ‘hard’ March 18, 2024 Nicola Sturgeon deleted all Covid Whatsapp messages – and Jason Leitch called deletion ‘a pre-bed ritual’ January 19, 2024 GMB stars send Kate Garraway their love as husband in ‘serious condition’ December 18, 2023 ‘Serious, inexcusable and avoidable failure’ on children’s rights in pandemic October 5, 2023 Sunak says he is ‘expansively’ helping Covid-19 inquiry after WhatsApp claims October 5, 2023 Boris Johnson was dismissive of disaster, Covid Inquiry hears October 5, 2023 Covid-19 bereaved families ‘haven’t had access to Johnson’s phone messages’ October 5, 2023 Kate Garraway on ‘very lonely and very difficult’ time caring for husband September 10, 2023 Cast revealed for Channel 4 dramatisation of partygate August 23, 2023 Scotland’s clinical director says winter upsurge in Covid cases ‘a concern’ August 21, 2023 Care leader warns more vulnerable Scots could die in future pandemic than during Covid August 13, 2023 Highland diver realises dream of dancing at his wedding two years after catching Covid while working in Mexico April 16, 2023 Premium Content ‘Aberdeen doctor saved my son’s life after he fell seriously ill with post-Covid condition’ February 17, 2023 Premium Content ‘I feel like a burden’: Long Covid sufferers describe agony of condition three years on from infections January 12, 2023 Call for Highland artists to submit ideas for region’s Covid memorials November 14, 2022 ‘Karaoke gave me Covid – but now I’m singing my lungs back to health’ November 11, 2022 Premium Content Aberdeen’s £4.4m budget deficit: Truss premiership hikes council borrowing costs October 28, 2022 Aberdeen health expert on how NHS will cope as a new wave of coronavirus hits Scotland October 14, 2022 Premium Content Sir David Jason collapsed during ‘seriously bad’ Covid bout October 12, 2022 Bereaved son says outgoing Covid inquiry chief Lady Poole lacked ’empathy’ October 6, 2022 Cash plea as health chiefs face mounting bill for looming Covid-19 inquiries August 28, 2022 Kate Garraway reveals husband Derek in hospital with ‘life-threatening’ sepsis August 1, 2022 Kate Garraway says husband Derek is ‘back on the right side’ after spell in ICU July 31, 2022 Lady Poole: Scotland’s Covid inquiry chair with links to Aberdeen University July 26, 2022",27/02/2020,07/02/2025,no,News,CORONAVIRUS,yes,Media
2527,"Scottish Sun, The",https://www.thescottishsun.co.uk/topic/coronavirus/,109416,"including, symptoms, transmissions, treatments, Latest, Coronavirus, Corp, education","Latest, coronavirus, including, symptoms, lockdown, vaccine, Zoe, week","Latest news on coronavirus, including symptoms, transmissions and treatments.",HERE'S a selection of what readers asked GP Dr Zoe this week .,27/02/2020,15/04/2025,no,News,CORONAVIRUS,yes,Media
