id,title,url,web_archive_id,first_keywords_auto,last_keywords_auto,first_summary_auto,last_summary_auto,first_date_parsed,last_date_parsed,alive,type1,type2,COVID (add yes/ no)
4530,Dunfermline Press,https://www.dunfermlinepress.com/,missing,"Alexa, Mar, Organization, Archive, Internet, DEC, COLLECTED, Starting","Team, Archive, history, data, projects, digital, saving, websites","Flowing in every day, these data are added to the Wayback Machine after an embargo period.","The Archive Team Panic Downloads are full pulldowns of currently extant websites, meant to serve as emergency backups for needed sites that are in danger of closing, or which will be missed dearly if suddenly lost due to hard drive crashes or server failures.",28/12/2003,28/07/2025,Yes,News,CORONAVIRUS,no
2576,Shetland Islands Council : News list,https://www.shetland.gov.uk/news-advice/info-bulletins.asp,109774,"Lerwick, Fax, Email, Disclaimer, Council, Town, Hall, Telephone","Title, October, September, August, July, June, April, March","Archive Bulletins Shetland Islands Council, Town Hall, Lerwick, Shetland ZE1 0HB, UK Telephone: +44 (0) 1595 693535 Fax: +44 (0) 1595 695590 Email: info@shetland.gov.uk Disclaimer",News List Date | Title | |---|---| October 2020 | | 01/10/2020 | | September 2020 | | 22/09/2020 | | 22/09/2020 | | 18/09/2020 | | 17/09/2020 | | 11/09/2020 | | 09/09/2020 | | 03/09/2020 | | 02/09/2020 | | August 2020 | | 31/08/2020 | | 27/08/2020 | | 25/08/2020 | | 25/08/2020 | | 24/08/2020 | | 20/08/2020 | | 19/08/2020 | | 14/08/2020 | | 14/08/2020 | | 12/08/2020 | | 11/08/2020 | | 07/08/2020 | | 07/08/2020 | | 06/08/2020 | | 06/08/2020 | | 04/08/2020 | | July 2020 | | 31/07/2020 | | 30/07/2020 | | 30/07/2020 | | 29/07/2020 | | 21/07/2020 | | 17/07/2020 | | 17/07/2020 | | 15/07/2020 | | 15/07/2020 | | 14/07/2020 | | 13/07/2020 | | 07/07/2020 | | 07/07/2020 | | June 2020 | | 30/06/2020 | | 30/06/2020 | | 26/06/2020 | | 26/06/2020 | | 24/06/2020 | | 24/06/2020 | | 22/06/2020 | | 19/06/2020 | | 19/06/2020 | | 17/06/2020 | | 16/06/2020 | | 04/06/2020 | | 02/06/2020 | | 01/06/2020 | | 01/06/2020 | | 01/06/2020 | | May 2020 | | 29/05/2020 | | 29/05/2020 | | 28/05/2020 | | 28/05/2020 | | 21/05/2020 | | 20/05/2020 | | 18/05/2020 | | 13/05/2020 | | 11/05/2020 | | 07/05/2020 | | 06/05/2020 | | 05/05/2020 | | April 2020 | | 30/04/2020 | | 27/04/2020 | | 24/04/2020 | | 24/04/2020 | | 22/04/2020 | | 22/04/2020 | | 17/04/2020 | | 17/04/2020 | | 16/04/2020 | | 15/04/2020 | | 14/04/2020 | | 14/04/2020 | | 10/04/2020 | | 10/04/2020 | | 09/04/2020 | | 09/04/2020 | | 08/04/2020 | | 08/04/2020 | | 07/04/2020 | | 06/04/2020 | | 03/04/2020 | | 03/04/2020 | | 03/04/2020 | | 03/04/2020 | | 02/04/2020 | | 02/04/2020 | | 02/04/2020 | | 01/04/2020 | | March 2020 | | 31/03/2020 | | 31/03/2020 | | 30/03/2020 | | 30/03/2020 | | 30/03/2020 | | 26/03/2020 | | 26/03/2020 | | 26/03/2020 | | 25/03/2020 | | 25/03/2020 | | 25/03/2020 | | 25/03/2020 | | 24/03/2020 | | 24/03/2020 | | 24/03/2020 | | 23/03/2020 | | 23/03/2020 | | 22/03/2020 | | 21/03/2020 | | 20/03/2020 | | 20/03/2020 | | 18/03/2020 | | 18/03/2020 | | 17/03/2020 | | 17/03/2020 | | 17/03/2020 | | 17/03/2020 | | 17/03/2020 | | 16/03/2020 | | 14/03/2020 | | 13/03/2020 | | 03/03/2020 | | February 2020 | | 28/02/2020 | | 28/02/2020 | | 26/02/2020 | | 20/02/2020 | | 20/02/2020 | | 19/02/2020 | | 14/02/2020 | | 13/02/2020 | | 11/02/2020 | | 10/02/2020 | | January | | 28/01/2020 | | 13/01/2020 | | 13/01/2020 | | 08/01/2020 | | 08/01/2020 | | Archive: | 2019 | 2018 | 2017 | 2016 | 2015 | 2014 | 2013 | 2012 | 2011 | 2010-2004 |,26/08/2004,01/10/2020,no,Local Authority,CORONAVIRUS,no
4254,Peter Vardy,http://petervardy.com/,missing,"Dec, Alexa, Organization, Archive, Internet, OCT, COLLECTED, Starting","Audi, BMW, car, Porsche, Rover, Dealership, Peter, Vardy","Flowing in every day, these data are added to the Wayback Machine after an embargo period.",Top UK Dealership for New and Used Cars Peter Vardy is one of the most exciting names in motor car retailing.,13/10/2004,14/12/2024,no,Business,Coronavirus,no
4328,Accounts Commission for Scotland : Covid-19,https://www.audit-scotland.gov.uk/news/,missing,"PDF, Date, Title, Press, releases, Scottish, Scotland, Site","Team, Archive, history, data, projects, digital, saving, websites",Title: Scottish Prison Service: Contract for the provision of prisoner escort and court custody services Date: 30/09/2004,"The Archive Team Panic Downloads are full pulldowns of currently extant websites, meant to serve as emergency backups for needed sites that are in danger of closing, or which will be missed dearly if suddenly lost due to hard drive crashes or server failures.",22/11/2004,03/03/2024,no,Executive NDPB,CORONAVIRUS,no
2951,Fife Council : News,https://www.fife.gov.uk/news,111413,"Dec, Nov, FiFE, Council, December, Christmas, November, ROAD","Jun, Centre, Council, Fife, pavement, parking, Ahead, Major","News Thursday 15 December 2005 Latest FifeLife features ROAD CLOSURE - A912, NEW INN TO FALKLAND (14 Dec 2005) FiFE Council Transportation Services are carrying out planned road drainage improvements at Kilgourieknowe Farm.","News Centre Fife Council News Centre - Council to issue pavement parking warning notices 30 Jun 2025 Ahead of the Pavement Parking Ban coming into force across Fife, warning notices are set… - Major regeneration plans unveiled for Kirkcaldy town centre and waterfront 30 Jun 2025 Fife Council appoints expert team to lead transformative masterplan Fife Council has appointed leading firms… Council meetings and decisions Livestreams Fife council webcasts its public meetings live.",15/12/2005,03/07/2025,no,Local Authority,CORONAVIRUS,no
2744,Scottish Dental : News,https://www.scottishdental.org/news/,110778,"Alexa, Mar, Feb, Jan, Organization, Archive, Internet, crawl","Team, Archive, history, data, projects, digital, saving, websites","Flowing in every day, these data are added to the Wayback Machine after an embargo period.","The Archive Team Panic Downloads are full pulldowns of currently extant websites, meant to serve as emergency backups for needed sites that are in danger of closing, or which will be missed dearly if suddenly lost due to hard drive crashes or server failures.",16/02/2006,07/03/2024,no,Medical,CORONAVIRUS,no
2422,Dance Sport Scotland,http://www.dancesportscotland.org/,109074,"Internet, Alexa, Archive, data, Starting, donating, crawl, contact","Scotland, Dancesport, dance, competitions, Latin, American, Ballroom, website","Flowing in every day, these data are added to the Wayback Machine after an embargo period.",Our annual Grand Finale and flagship event is the Scottish Closed Championships held annually in December.,08/07/2006,14/07/2025,no,Sports,CORONAVIRUS,no
4542,"Skinny, The",https://www.theskinny.co.uk/,missing,"Alexa, Internet, Jan, Organization, Archive, DEC, COLLECTED, Starting","Team, Archive, history, data, projects, digital, saving, websites","Flowing in every day, these data are added to the Wayback Machine after an embargo period.","The Archive Team Panic Downloads are full pulldowns of currently extant websites, meant to serve as emergency backups for needed sites that are in danger of closing, or which will be missed dearly if suddenly lost due to hard drive crashes or server failures.",16/12/2006,28/07/2025,no,News,CORONAVIRUS,no
2553,Edinburgh Science Festival : News,https://www.sciencefestival.co.uk/news/,109646,"Alexa, Jan, Internet, Feb, Apr, Organization, Mar, COLLECTED","Science, CEO, Getty, Collide, Southern, PST, California, ART","Flowing in every day, these data are added to the Wayback Machine after an embargo period.",Simon announced today (Friday 18 August 2023) that he will step down within the year and once a new CEO has been found.,03/03/2007,02/01/2024,no,Festival,CORONAVIRUS,no
2467,Carluke Gazette,http://www.carlukegazette.co.uk/news/,109350,"Trust, Philip, Vet, Chloe, begin, selected, contest, finalist","Newsroom, Newman, Numismatic, Portal, Currie, Business, Julie, Louis","Chloe Philip selected as contest finalist Vet's bitter fall out with neighbour As race day plans are wrapped up, Trust kickstarts new project Up to three weeks of disruption begin","The Wayback Machine - https://web.archive.org/web/20210806004245/https://www.carlukegazette.co.uk/news News you can trust since 1906 News Traffic and Travel Crime Weather Politics Business Education Health People Read This Sport Football Other Sport What's On Arts and Entertainment Things To Do Lifestyle Cars Homes and Gardens Public Notices News Headlines Education Rigside nursery targeted by vandals twice in 72 hours Stephen Bark - Local Democracy reporting Service Home Multiverse promises two fantastic days of music in one spectacular venue By The Newsroom Home Community action in Rigside and Douglas Water By The Newsroom Business Crofty and Grado ""choose local"" on visit to Carluke By The Newsroom Business Village property is history with a modern twist By The Newsroom People Lanark's long association with the Clydesdale horse is set to be celebrated Stephen Bark - Local Democracy Reporting Service Cars Government climate spokesperson ‘won’t swap diesel for EV’ Matt Allan Traffic and Travel See more News Watch three-week bridge installation condensed into just 45 seconds By The Newsroom News Key road route closed for one month Julie Currie Cars MPs demand end to EV charging ‘postcode lottery’ and excessive prices Matt Allan News Are e-scooters legal in the UK?",18/05/2007,06/08/2021,no,News,CORONAVIRUS,no
2480,Midlothian Advertiser,https://www.midlothianadvertiser.co.uk/news/,109363,"Rosewell, Matthew, Primary, School, teachers, due, outrage, revelation","Quinn, Kevin, People, Midlothian, Business, Crawl, Politics, Read",A LOANHEAD firm has allayed local fears that its recent expansion could result in more vehicles travelling to and from Edgefield Industrial Estate.,"The Wayback Machine - https://web.archive.org/web/20211202192910/https://www.midlothianadvertiser.co.uk/news News you can trust since 1854 News Traffic and Travel Crime Weather Politics Business Education Health People Read This Sport Football Other Sport What's On Arts and Entertainment Things To Do Lifestyle Cars Homes and Gardens Public Notices Advertise My Business Free Happy Ads News Headlines Arts and Entertainment Edinburgh King's panto: Sleeping Beauty is a dazzling five star extravaganza Liam Rudden Education New principal appointed at Newbattle Abbey College Kevin Quinn Politics Domestic violence offenders face eviction from Midlothian council houses Marie Sharp, LDR News Staycation Scotland: Website to plough profits into ailing island communities Ilona Amos Crime Midlothian thug jailed for beating a hedgehog to death Alexander Lawrie News Nippy, nasty Ugly Sisters are real stars of Cinderella... and must be men Liam Rudden News Storm Arwen: Thousands of Scottish homes still have no power Lucinda Cameron Traffic and Travel See more Traffic and Travel NHS Lothian announce £674, 797 car park at Royal Infirmary Shona Elliott People Roadworks on the Edinburgh City Bypass at Millerhill and Lasswade Kevin Quinn News Work to improve Roslin Glen road By The Newsroom Crime Drug drivers purge by Police Scotland Lauren Dillon News Isle of Arran ferry service disrupted by staff Covid cases Stephen Wilkie Crime See more Crime Midlothian groups join 16 Days of Activism against Gender-Based Violence Kevin Quinn Crime Midlothian Crimebeat November 15-21 Kevin Quinn People Midlothian Trading Standards seize goods under Operation CeCe Kevin Quinn Politics Midlothian pubs warned spiking incidents threaten licence Marie Sharp, LDR Weather See more Weather These are the UK cities most likely to have a white Christmas this year Helen Johnson Read This You could be eligible for a Cold Weather Payment - here’s how to check Helen Johnson Weather Striking photos of summer storms across the UK Helen Johnson Weather These are the 10 hottest cities in the UK today - with temperatures 31C or more Claire Schofield Business See more Business Radhuni makes Midlothian a UK food hotspot - again!",25/05/2007,02/12/2021,no,News,CORONAVIRUS,no
2483,"Southern Reporter, The",https://www.thesouthernreporter.co.uk/news/,109366,"CORRECTION, Scotland, Lilliesleaf, Primary, School, South, Borders, budding","Team, Archive, history, data, projects, digital, saving, websites",THE Royal Society for the Protection of Birds has welcomed the sentencing of a Borders gamekeeper to 220 hours' community service for using live pigeons in cages and dead pheasants laced with poisons to try to trap birds of prey.,"The Archive Team Panic Downloads are full pulldowns of currently extant websites, meant to serve as emergency backups for needed sites that are in danger of closing, or which will be missed dearly if suddenly lost due to hard drive crashes or server failures.",09/06/2007,01/07/2025,no,News,CORONAVIRUS,no
2472,"Falkirk Herald, The",https://www.falkirkherald.co.uk/news/,109355,"HEARTLESS, devastated, thieves, left, desperately, ill, woman, FALKIRK'S","Team, Archive, history, data, projects, digital, saving, websites",DIVERS from Central Scotland Police joined the hunt for a Falkirk schoolgirl who disappeared 16 years ago.,"The Archive Team Panic Downloads are full pulldowns of currently extant websites, meant to serve as emergency backups for needed sites that are in danger of closing, or which will be missed dearly if suddenly lost due to hard drive crashes or server failures.",10/06/2007,01/07/2025,no,News,CORONAVIRUS,no
2890,Dundee City Council : News,https://www.dundeecity.gov.uk/news/,111343,"Press, Releases, City, Consultation, Proposal, Focus, Archive, June","Team, Archive, history, data, projects, digital, saving, websites",For Paths | | 2007-06-05 | Broughty's Blue Flag | | 2007-06-05 | Social Work Team In Finals | | 2007-05-22 | Dundee Schools Music Theatre Tickets | | 2007-05-18 | Streamlined Committee Structure | | 2007-05-18 | Energy Advice Dates | | 2007-04-18 | Top Award For Gary | | 2007-04-12 | New Housing Office | | 2007-04-09 | Focus on Finances | | 2007-04-06 | Lane Closure Lifted | | 2007-04-04 | VoteScotland Roadshow | | 2007-03-30 | New Car Park |,"The Archive Team Panic Downloads are full pulldowns of currently extant websites, meant to serve as emergency backups for needed sites that are in danger of closing, or which will be missed dearly if suddenly lost due to hard drive crashes or server failures.",10/06/2007,09/07/2025,no,Local Authority,CORONAVIRUS,no
2469,Cumbernauld News,https://www.cumbernauld-news.co.uk/news/,109352,"CUMBERNAULD'S, Antonine, Centre, Wednesday, restrictions, long-awaited, opened, doors","Newsroom, Business, Crime, Weather, Cumbernauld, Crawl, Read, People",CHARITY champion Sam McFaulds is in training for yet another sponsored swim.,By The Newsroom People Farewell to Cumbernauld News and Kilsyth Chronicle's Neil Smith By The Newsroom People Trading trend online will help Kilsyth fundraiser raise cash By The Newsroom Read This See more Read This Helen Glover misses out on Tokyo gold with rowing partner Polly Swann - and rule... Carly Roberts Read This Wayne Rooney apologises and admits 'mistake' over pictures on social media Ross Gregory Read This Simon Cowell’s X Factor UK axed after 17 years - why ITV talent show is being ca... Carly Roberts News you can trust since 1961 News News Traffic and Travel Crime Weather Politics Business Education Health People Read This Sport Sport Football Other Sport What's On What's On Arts and Entertainment Things To Do Lifestyle Lifestyle Cars Homes and Gardens Must Read Advertise My Business Public Notices Follow us,11/06/2007,29/07/2021,no,News,CORONAVIRUS,no
2463,Kirkintilloch Herald,https://www.kirkintilloch-herald.co.uk/news/,109346,"STAFF, Stobhill, Hospital, charity, raised, vital, funds, leading","Newsroom, Dunbartonshire, East, Gallacher, People, Business, Liz, Jun",DEDICATED volunteers have been presented with certificates in recognition of the work they do at a sheltered housing complex.,"Matt Allan People East Dunbartonshire Kids - embrace your creative side this summer with free dram... By The Newsroom People 250 janitor, cleaning and dinner staff jobs at risk as East Dunbartonshire Counc... Liz Gallacher News New diesel vans and lorries to be banned by 2040 Matt Allan News Distressing images of wildlife trapped in gardens as warning issued over sports ... Liz Gallacher Traffic and Travel See more News New average safety speed cameras at Auchinairn By The Newsroom News Disruption for drivers as main route from Bearsden shut for three weeks By The Newsroom Cars Bank holiday traffic: 11m extra journeys predicted as drivers warned of delays Matt Allan News Pay by mobile phone at East Dunbartonshire Council's nine charging car parks Liz Gallacher News Pay by mobile phone at East Dunbartonshire Council's nine charging car parks By The Newsroom Crime See more Crime Death of man found in close being treated as murder Liz Gallacher Crime Police plea after gang beat up man at community centre in Springburn By The Newsroom Crime Fresh appeal after man assaulted at Kirkintilloch Skate Park in glass bottle att... Liz Gallacher Crime Police hunt fugitive in connection with Bishopbriggs murder Herald Reporter Weather See more Weather These are the UK cities most likely to have a white Christmas this year Helen Johnson Read This You could be eligible for a Cold Weather Payment - here’s how to check Helen Johnson News Fallen tree at Lenzie causing disruption By The Newsroom Weather Striking photos of summer storms across the UK Helen Johnson Business See more Business Glasgow gastropub gets it's moment of fame on the big screen featuring in new cr... John A. MacInnes Business Plans start for HarperCollins' move from Bishopbriggs to Robroyston Liz Gallacher Business Call to show 'local loyalty' and support East Dunbartonshire businesses By The Newsroom Business Drop in number of furloughed workers in East Dunbartonshire Alex Ross, Data Reporter Politics See more Politics MSPs call for Springburn teenage orphan's grandmother to be granted permanent UK... By The Newsroom People EU citizens have just a few days left to apply to stay in Scotland By The Newsroom Education Summer programme of leisure and lunch on the menu for East Dunbartonshire pupils By The Newsroom Education See more Education Inspirational Bishopbriggs head teacher wins top award for changing the lives of... Liz Gallacher Education East Dunbartonshire Council relaunches modern apprenticeship programmes By The Newsroom Education Home Office grants Springburn orphan the right to stay in UK permanently By The Newsroom Education Inspiring youngsters awarded for work in cleaning up local community By The Newsroom Health See more Coronavirus Taxpayers will be paying costs of pandemic for decades - with Covid bill already... Claire Schofield Coronavirus Airports in ‘total chaos’ as thousands face 3 hour queues to jet off on holiday Claire Schofield Coronavirus Where cases of new Columbian Covid variant are in UK - and its effect on vaccine... Claire Schofield People See more People Grieving family brand East Dunbartonshire Council's funeral policy 'insensitive ... Herald Reporter People Covid: MSP welcomes East Dunbartonshire’s move to Level 0 By The Newsroom People Bearsden: More misery at new Allander junction traffic lights system Liz Gallacher People Radio presenter and author Gina McKie set to open Bearsden Writing Festival Liz Gallacher Read This See more Read This Government accused of introducing Covid passports ‘by stealth’ after updating NH... Carly Roberts Read This Human remains confirmed to be British hiker missing in Pyrenees Group Reporter Read This Medal rush continues for GB swimmers as Duncan Scott wins silver and Luke Greenb... Carly Roberts News you can trust since 1863 News News Traffic and Travel Crime Weather Politics Business Education Health People Read This Sport Sport Football Other Sport What's On What's On Arts and Entertainment Things To Do Lifestyle Lifestyle Cars Homes and Gardens Must Read Advertise My Business Public Notices Follow us",12/06/2007,30/07/2021,no,News,CORONAVIRUS,no
2468,Carrick Gazette,http://www.carricktoday.co.uk/news/,109351,"Ayrshire, Girvan, SOUTH, home, sight, promised, disabled, man","Renton, LIVE, Read, Coronavirus, Dawn, Sign, Schofield, People",SOUTH Ayrshire Council promised a disabled Girvan man a special parking bay outside his home – but almost three months later there are still no white lines in sight.,The Wayback Machine - https://web.archive.org/web/20200329050728/https://www.carricktoday.co.uk/news Sign In Sign Up News Traffic and Travel Crime Weather Politics Business Education Health People Read This Sport Football Other Sport What's On Arts and Entertainment Things To Do Lifestyle Cars Homes and Gardens News Headlines People Safety advice for visitors to the coast during COVID-19 outbreak Dawn Renton People Community spirit on the menu in Maybole Dawn Renton,16/06/2007,29/03/2020,no,News,CORONAVIRUS,yes
2464,Hawick News,https://www.hawick-news.co.uk/news/,109347,"BARRIE, shortfall, Hawick, employees, week, facing, grim, prospect","Coronavirus, Health, live, blog, happened, latest, people, support",CONTROVERSIAL plans to convert Newmill Country Inn into a house have been given the green light.,"Coronavirus live blog as it happened: latest as 250,000 volunteers wanted to support NHS as new Covid-19 hospital to open Health Coronavirus live blog as it happened: latest as pubs and restaurants set to close this evening Health Coronavirus live blog as it happened: Boris Johnson introduces new measures as over 70s encouraged to avoid social contact Health Coronavirus live blog: latest as Chancellor announces loans worth £330 billion to support businesses Health Universal Credit in Crisis: These people want you to hear their stories of life on the problem benefit before it is rolled-out even further People",05/07/2007,27/03/2020,no,News,CORONAVIRUS,yes
